user_id,event,business_type,event_date,day_of_week,timestamp
USER_00000,started_registration,LLC,2025-08-05 14:17:43.803483,Tuesday,2025-08-05T14:17:43.803483
USER_00000,completed_step_1,LLC,2025-08-05 14:17:43.803483,Tuesday,2025-08-05T14:17:43.803483
USER_00001,started_registration,Corporation,2025-07-07 14:17:43.803573,Monday,2025-07-07T14:17:43.803573
USER_00001,completed_step_1,Corporation,2025-07-07 14:17:43.803573,Monday,2025-07-07T14:17:43.803573
USER_00001,completed_step_2,Corporation,2025-07-07 14:17:43.803573,Monday,2025-07-07T14:17:43.803573
USER_00002,started_registration,Corporation,2025-06-28 14:17:43.803641,Saturday,2025-06-28T14:17:43.803641
USER_00002,completed_step_1,Corporation,2025-06-28 14:17:43.803641,Saturday,2025-06-28T14:17:43.803641
USER_00003,started_registration,NonProfit,2025-09-29 14:17:43.803696,Monday,2025-09-29T14:17:43.803696
USER_00003,completed_step_1,NonProfit,2025-09-29 14:17:43.803696,Monday,2025-09-29T14:17:43.803696
USER_00004,started_registration,Corporation,2025-09-09 14:17:43.803749,Tuesday,2025-09-09T14:17:43.803749
USER_00004,completed_step_1,Corporation,2025-09-09 14:17:43.803749,Tuesday,2025-09-09T14:17:43.803749
USER_00004,completed_step_2,Corporation,2025-09-09 14:17:43.803749,Tuesday,2025-09-09T14:17:43.803749
USER_00004,completed_step_3,Corporation,2025-09-09 14:17:43.803749,Tuesday,2025-09-09T14:17:43.803749
USER_00005,started_registration,LLC,2025-10-22 14:17:43.803815,Wednesday,2025-10-22T14:17:43.803815
USER_00005,completed_step_1,LLC,2025-10-22 14:17:43.803815,Wednesday,2025-10-22T14:17:43.803815
USER_00006,started_registration,LLC,2025-09-12 14:17:43.803866,Friday,2025-09-12T14:17:43.803866
USER_00007,started_registration,Corporation,2025-09-16 14:17:43.803991,Tuesday,2025-09-16T14:17:43.803991
USER_00007,completed_step_1,Corporation,2025-09-16 14:17:43.803991,Tuesday,2025-09-16T14:17:43.803991
USER_00007,completed_step_2,Corporation,2025-09-16 14:17:43.803991,Tuesday,2025-09-16T14:17:43.803991
USER_00007,completed_step_3,Corporation,2025-09-16 14:17:43.803991,Tuesday,2025-09-16T14:17:43.803991
USER_00008,started_registration,Corporation,2025-10-28 14:17:43.804112,Tuesday,2025-10-28T14:17:43.804112
USER_00008,completed_step_1,Corporation,2025-10-28 14:17:43.804112,Tuesday,2025-10-28T14:17:43.804112
USER_00008,completed_step_2,Corporation,2025-10-28 14:17:43.804112,Tuesday,2025-10-28T14:17:43.804112
USER_00008,completed_step_3,Corporation,2025-10-28 14:17:43.804112,Tuesday,2025-10-28T14:17:43.804112
USER_00009,started_registration,Corporation,2025-10-29 14:17:43.804217,Wednesday,2025-10-29T14:17:43.804217
USER_00009,completed_step_1,Corporation,2025-10-29 14:17:43.804217,Wednesday,2025-10-29T14:17:43.804217
USER_00010,started_registration,LLC,2025-07-25 14:17:43.804267,Friday,2025-07-25T14:17:43.804267
USER_00011,started_registration,LLC,2025-09-13 14:17:43.804311,Saturday,2025-09-13T14:17:43.804311
USER_00011,completed_step_1,LLC,2025-09-13 14:17:43.804311,Saturday,2025-09-13T14:17:43.804311
USER_00011,completed_step_2,LLC,2025-09-13 14:17:43.804311,Saturday,2025-09-13T14:17:43.804311
USER_00012,started_registration,Corporation,2025-10-23 14:17:43.804365,Thursday,2025-10-23T14:17:43.804365
USER_00012,completed_step_1,Corporation,2025-10-23 14:17:43.804365,Thursday,2025-10-23T14:17:43.804365
USER_00012,completed_step_2,Corporation,2025-10-23 14:17:43.804365,Thursday,2025-10-23T14:17:43.804365
USER_00013,started_registration,Corporation,2025-09-27 14:17:43.804423,Saturday,2025-09-27T14:17:43.804423
USER_00014,started_registration,Corporation,2025-07-18 14:17:43.804467,Friday,2025-07-18T14:17:43.804467
USER_00015,started_registration,LLC,2025-07-05 14:17:43.804510,Saturday,2025-07-05T14:17:43.804510
USER_00015,completed_step_1,LLC,2025-07-05 14:17:43.804510,Saturday,2025-07-05T14:17:43.804510
USER_00015,completed_step_2,LLC,2025-07-05 14:17:43.804510,Saturday,2025-07-05T14:17:43.804510
USER_00015,completed_step_3,LLC,2025-07-05 14:17:43.804510,Saturday,2025-07-05T14:17:43.804510
USER_00015,verification_attempted,LLC,2025-07-05 14:17:43.804510,Saturday,2025-07-05T14:17:43.804510
USER_00016,started_registration,LLC,2025-06-23 14:17:43.804576,Monday,2025-06-23T14:17:43.804576
USER_00016,completed_step_1,LLC,2025-06-23 14:17:43.804576,Monday,2025-06-23T14:17:43.804576
USER_00017,started_registration,Corporation,2025-10-04 14:17:43.804626,Saturday,2025-10-04T14:17:43.804626
USER_00017,completed_step_1,Corporation,2025-10-04 14:17:43.804626,Saturday,2025-10-04T14:17:43.804626
USER_00018,started_registration,Corporation,2025-10-09 14:17:43.804674,Thursday,2025-10-09T14:17:43.804674
USER_00019,started_registration,Corporation,2025-10-04 14:17:43.804717,Saturday,2025-10-04T14:17:43.804717
USER_00019,completed_step_1,Corporation,2025-10-04 14:17:43.804717,Saturday,2025-10-04T14:17:43.804717
USER_00019,completed_step_2,Corporation,2025-10-04 14:17:43.804717,Saturday,2025-10-04T14:17:43.804717
USER_00019,completed_step_3,Corporation,2025-10-04 14:17:43.804717,Saturday,2025-10-04T14:17:43.804717
USER_00020,started_registration,Corporation,2025-10-02 14:17:43.804779,Thursday,2025-10-02T14:17:43.804779
USER_00020,completed_step_1,Corporation,2025-10-02 14:17:43.804779,Thursday,2025-10-02T14:17:43.804779
USER_00020,completed_step_2,Corporation,2025-10-02 14:17:43.804779,Thursday,2025-10-02T14:17:43.804779
USER_00021,started_registration,Corporation,2025-06-17 14:17:43.804832,Tuesday,2025-06-17T14:17:43.804832
USER_00021,completed_step_1,Corporation,2025-06-17 14:17:43.804832,Tuesday,2025-06-17T14:17:43.804832
USER_00021,completed_step_2,Corporation,2025-06-17 14:17:43.804832,Tuesday,2025-06-17T14:17:43.804832
USER_00021,completed_step_3,Corporation,2025-06-17 14:17:43.804832,Tuesday,2025-06-17T14:17:43.804832
USER_00021,verification_attempted,Corporation,2025-06-17 14:17:43.804832,Tuesday,2025-06-17T14:17:43.804832
USER_00021,verification_completed,Corporation,2025-06-17 14:17:43.804832,Tuesday,2025-06-17T14:17:43.804832
USER_00021,permit_application_started,Corporation,2025-06-17 14:17:43.804832,Tuesday,2025-06-17T14:17:43.804832
USER_00022,started_registration,LLC,2025-08-02 14:17:43.804958,Saturday,2025-08-02T14:17:43.804958
USER_00022,completed_step_1,LLC,2025-08-02 14:17:43.804958,Saturday,2025-08-02T14:17:43.804958
USER_00022,completed_step_2,LLC,2025-08-02 14:17:43.804958,Saturday,2025-08-02T14:17:43.804958
USER_00023,started_registration,Corporation,2025-10-08 14:17:43.805047,Wednesday,2025-10-08T14:17:43.805047
USER_00023,completed_step_1,Corporation,2025-10-08 14:17:43.805047,Wednesday,2025-10-08T14:17:43.805047
USER_00023,completed_step_2,Corporation,2025-10-08 14:17:43.805047,Wednesday,2025-10-08T14:17:43.805047
USER_00023,completed_step_3,Corporation,2025-10-08 14:17:43.805047,Wednesday,2025-10-08T14:17:43.805047
USER_00023,verification_attempted,Corporation,2025-10-08 14:17:43.805047,Wednesday,2025-10-08T14:17:43.805047
USER_00024,started_registration,NonProfit,2025-06-25 14:17:43.805115,Wednesday,2025-06-25T14:17:43.805115
USER_00024,completed_step_1,NonProfit,2025-06-25 14:17:43.805115,Wednesday,2025-06-25T14:17:43.805115
USER_00024,completed_step_2,NonProfit,2025-06-25 14:17:43.805115,Wednesday,2025-06-25T14:17:43.805115
USER_00024,completed_step_3,NonProfit,2025-06-25 14:17:43.805115,Wednesday,2025-06-25T14:17:43.805115
USER_00025,started_registration,LLC,2025-08-06 14:17:43.805173,Wednesday,2025-08-06T14:17:43.805173
USER_00025,completed_step_1,LLC,2025-08-06 14:17:43.805173,Wednesday,2025-08-06T14:17:43.805173
USER_00026,started_registration,LLC,2025-10-10 14:17:43.805221,Friday,2025-10-10T14:17:43.805221
USER_00026,completed_step_1,LLC,2025-10-10 14:17:43.805221,Friday,2025-10-10T14:17:43.805221
USER_00027,started_registration,NonProfit,2025-07-26 14:17:43.805270,Saturday,2025-07-26T14:17:43.805270
USER_00027,completed_step_1,NonProfit,2025-07-26 14:17:43.805270,Saturday,2025-07-26T14:17:43.805270
USER_00027,completed_step_2,NonProfit,2025-07-26 14:17:43.805270,Saturday,2025-07-26T14:17:43.805270
USER_00027,completed_step_3,NonProfit,2025-07-26 14:17:43.805270,Saturday,2025-07-26T14:17:43.805270
USER_00028,started_registration,LLC,2025-09-08 14:17:43.805335,Monday,2025-09-08T14:17:43.805335
USER_00028,completed_step_1,LLC,2025-09-08 14:17:43.805335,Monday,2025-09-08T14:17:43.805335
USER_00028,completed_step_2,LLC,2025-09-08 14:17:43.805335,Monday,2025-09-08T14:17:43.805335
USER_00029,started_registration,LLC,2025-09-15 14:17:43.805392,Monday,2025-09-15T14:17:43.805392
USER_00029,completed_step_1,LLC,2025-09-15 14:17:43.805392,Monday,2025-09-15T14:17:43.805392
USER_00030,started_registration,Corporation,2025-07-28 14:17:43.805441,Monday,2025-07-28T14:17:43.805441
USER_00030,completed_step_1,Corporation,2025-07-28 14:17:43.805441,Monday,2025-07-28T14:17:43.805441
USER_00030,completed_step_2,Corporation,2025-07-28 14:17:43.805441,Monday,2025-07-28T14:17:43.805441
USER_00031,started_registration,Corporation,2025-09-13 14:17:43.805494,Saturday,2025-09-13T14:17:43.805494
USER_00031,completed_step_1,Corporation,2025-09-13 14:17:43.805494,Saturday,2025-09-13T14:17:43.805494
USER_00031,completed_step_2,Corporation,2025-09-13 14:17:43.805494,Saturday,2025-09-13T14:17:43.805494
USER_00032,started_registration,Corporation,2025-09-14 14:17:43.805547,Sunday,2025-09-14T14:17:43.805547
USER_00032,completed_step_1,Corporation,2025-09-14 14:17:43.805547,Sunday,2025-09-14T14:17:43.805547
USER_00033,started_registration,LLC,2025-08-30 14:17:43.805595,Saturday,2025-08-30T14:17:43.805595
USER_00033,completed_step_1,LLC,2025-08-30 14:17:43.805595,Saturday,2025-08-30T14:17:43.805595
USER_00033,completed_step_2,LLC,2025-08-30 14:17:43.805595,Saturday,2025-08-30T14:17:43.805595
